href,titles,prices
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12868693&Area=search&mdiv=403&oid=1_1&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128G/高通驍龍6 Gen1/4800萬鏡頭畫素),"10,790"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13035180&Area=search&mdiv=403&oid=1_2&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/4800萬鏡頭畫素),"32,490"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13371531&Area=search&mdiv=403&oid=1_3&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 1 V 6.5吋原廠展示機(12G/256G),"18,910"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13357787&Area=search&mdiv=403&oid=1_4&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"35,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10429095&Area=search&mdiv=403&oid=1_5&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 10 III 6吋(6G/128G),"4,110"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13792657&Area=search&mdiv=403&oid=1_6&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】S+級福利品 Xperia 1 VI 6.5吋(12G/256GB),"27,263"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13755483&Area=search&mdiv=403&oid=1_7&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A+級福利品 Xperia 10 IV 6吋(6G/128GB),"4,105"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13678442&Area=search&mdiv=403&oid=1_8&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 1 VI 6.5吋(12G/512G),"29,910"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13179905&Area=search&mdiv=403&oid=1_9&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/4800萬鏡頭畫素),"32,490"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12997686&Area=search&mdiv=403&oid=1_10&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128G/高通驍龍6 Gen1/4800萬鏡頭畫素),"10,790"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12827406&Area=search&mdiv=403&oid=1_11&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/1200萬鏡頭畫素),"32,490"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10632163&Area=search&mdiv=403&oid=1_12&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 10 IV 6吋(6G/128G),"5,111"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13792658&Area=search&mdiv=403&oid=1_13&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 1 V 6.5吋(12GB/256GB),"18,843"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10026975&Area=search&mdiv=403&oid=1_14&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 5 III 6.1吋(8G/256G),"5,776"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12827410&Area=search&mdiv=403&oid=1_15&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128G/高通驍龍6 Gen1/800萬鏡頭畫素),"10,790"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12827407&Area=search&mdiv=403&oid=1_16&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"35,490"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13402640&Area=search&mdiv=403&oid=1_17&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"35,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13211027&Area=search&mdiv=403&oid=1_18&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/4800萬鏡頭畫素),"39,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10429097&Area=search&mdiv=403&oid=1_19&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 10 II 6吋(4G/128G),"3,710"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12916869&Area=search&mdiv=403&oid=1_20&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128G/高通驍龍6 Gen1/4800萬鏡頭畫素),"10,790"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13128203&Area=search&mdiv=403&oid=1_21&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 10 VI 6.1吋(8G/128G),"9,111"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12843677&Area=search&mdiv=403&oid=1_22&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"43,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12139803&Area=search&mdiv=403&oid=1_23&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 10 V 5G 6.1吋(8G/128G),"6,511"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13211103&Area=search&mdiv=403&oid=1_24&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128GB),"11,111"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13490860&Area=search&mdiv=403&oid=1_25&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 5 IV 6.1吋(8G/256GB),"7,776"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12841338&Area=search&mdiv=403&oid=1_26&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"39,990"
