href,titles,prices
https://24h.pchome.com.tw/prod/DYAQ9D-A900F5NPB,SONY 索尼 WH-1000XM5 主動式降噪旗艦 藍牙耳機(頂級降噪 /極真音質/配戴舒適)[公司貨 保固12+6],"$11,900"
https://24h.pchome.com.tw/prod/DYAQ9M-A900G43ND,SONY 索尼 [公司貨 保固12個月] WH-CH720N 無線降噪耳罩式耳機,"$3,900"
https://24h.pchome.com.tw/prod/DYAQFN-A900GIU1T,SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機 (公司貨 保固 12+6 個月),"$7,990"
https://24h.pchome.com.tw/prod/DYAQFN-A900GQX1R,SONY 索尼 INZONE Buds 真無線降噪遊戲耳塞式耳機 WF-G700N,"$5,890"
https://24h.pchome.com.tw/prod/DYAQ9M-A900HEPPS,SONY 索尼 ULT WEAR WH-ULT900N 無線重低音降噪耳機 (公司貨 保固 12 個月),"$5,990"
https://24h.pchome.com.tw/prod/DYAQ9D-A900F4UPP,SONY 索尼 WH-1000XM5 (3色) 無線藍牙降噪 耳罩式耳機【公司貨保固12個月註冊延長6個月】,"$11,900"
https://24h.pchome.com.tw/prod/DYAQ9D-A900AT4UE,SONY 索尼 WH-1000XM4 藍牙降噪耳罩式耳機-黑色《公司貨註冊保固2年》,"$7,900"
https://24h.pchome.com.tw/prod/DYAQ9M-A900GQVK0,SONY 索尼 INZONE H9 無線降噪電競耳機 WH-G900N (公司貨 保固 12 個月),"$6,990"
https://24h.pchome.com.tw/prod/DYAQ9D-A900AT4V5,SONY 索尼 WH-1000XM4 藍牙降噪耳罩式耳機 - 銀色《公司貨註冊保固2年》,"$7,900"
https://24h.pchome.com.tw/prod/DYAQ9L-A900GIU88,SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機(公司貨 保固 12+6 個月),"$7,990"
https://24h.pchome.com.tw/prod/DMAAMT-A900HBLV7,SONY 索尼 (福利品) WF-1000XM5 真無線 入耳式 降噪耳機,"$6,890"
https://24h.pchome.com.tw/prod/DYAQ9M-A900HV628,SONY 索尼 WH-1000XM5 玫瑰灰 無線藍牙降噪 耳罩式耳機【公司貨保固12個月註冊延長6個月】,"$11,900"
https://24h.pchome.com.tw/prod/DYAQ9D-A900G3THO,SONY 索尼 [ 公司貨 保固 12 個月]WH CH720N 無線降噪耳罩式耳機,"$3,900"
https://24h.pchome.com.tw/prod/DYAQ9D-A900F5TO2,SONY 索尼 [ 公司貨 保固12+6] WH-1000XM5 主動式降噪旗艦藍牙耳機(頂級降噪 /極真音質/配戴舒適),"$11,900"
https://24h.pchome.com.tw/prod/DYAQ9M-A900GQXK1,SONY 索尼 INZONE H5 無線耳罩式電競耳機 WH-G500 (公司貨 保固12個月),"$4,190"
https://24h.pchome.com.tw/prod/DYAQHK-A900HO193,SONY 索尼 WH-1000XM5無線藍牙降噪耳罩式耳機+ Papago二代多功能行動電源(原廠公司貨),"$11,900"
https://24h.pchome.com.tw/prod/DYAQ9M-A900HEV1M,SONY 索尼 ULT WEAR WH-ULT900N 無線重低音降噪耳機 【公司貨保固12個月】,"$5,990"
https://24h.pchome.com.tw/prod/DYAQ9D-A900AT1RI,SONY 索尼 WH-1000XM4 無線藍牙降噪 耳罩式耳機,"$7,900"
https://24h.pchome.com.tw/prod/DYAQFN-A900HGQHB,SONY 索尼 INZONE Buds 真無線降噪遊戲耳塞式耳機 WF-G700N [福利品] (公司貨 保固12個月),"$5,390"
https://24h.pchome.com.tw/prod/DYAQ9M-A900HVEOH,SONY 索尼 WH-1000XM5 主動式降噪旗艦藍牙耳機 (公司貨 保固12+6個月),"$11,900"
https://24h.pchome.com.tw/prod/DYAQ9M-A900GAF6E,SONY 索尼 [ 公司貨 保固 12+6 個月] MDR MV1 開放式錄音室監聽耳機,"$11,290"
https://24h.pchome.com.tw/prod/DYAQFN-A900GQLAN,SONY 索尼 INZONE Buds 真無線降噪遊戲耳塞式耳機 WF-G700N (公司貨 保固 12 個月) 白色,"$5,890"
https://24h.pchome.com.tw/prod/DYAQ9D-A900AT49Q,SONY 索尼 [ 公司貨 保固12+12] WH-1000XM4 主動式降噪 無線藍牙耳機(智慧降噪 / 無線高音質 / 質感美型),"$7,900"
https://24h.pchome.com.tw/prod/DSBC59-A900I91M1,SONY 索尼 (限促)封閉式監聽耳機 MDR-M1,"$7,990"
https://24h.pchome.com.tw/prod/DCAY7T-A900F871N,SONY 索尼 耳罩式耳機 WH-1000XM5 藍牙無線 降噪 高音質【兩色】,"$10,500"
https://24h.pchome.com.tw/prod/DYAQFN-A900GQO4X,SONY 索尼 INZONE Buds 真無線降噪遊戲耳塞式耳機 WF-G700N (公司貨 保固12個月),"$5,890"
https://24h.pchome.com.tw/prod/DYAQF4-A900F5NW6,SONY 索尼 WF-LS900N LinkBuds S 真無線耳機《公司貨註冊保固1年6個月》,"$4,490"
https://24h.pchome.com.tw/prod/DYAQIL-A900HBWLF,SONY 索尼 WF-1000XM5 真無線主動式降噪耳機,"$7,990"
https://24h.pchome.com.tw/prod/DCAY7S-A9009XVLX,SONY 索尼 高階入耳式監聽耳機 IER-M9 五具平衡電樞 Hi-Res 可升級線【保固一年】,"$31,900"
https://24h.pchome.com.tw/prod/DYAQ9M-A900HEPP9,SONY 索尼 ULT WEAR WH-ULT900N 無線重低音降噪耳機 (公司貨 保固 12 個月),"$5,990"
https://24h.pchome.com.tw/prod/DYAQ9D-A900ATCQS,SONY 索尼 [ 公司貨 保固12+12] WH-1000XM4 主動式降噪 無線藍牙耳機(智慧降噪 / 無線高音質 / 質感美型),"$7,900"
https://24h.pchome.com.tw/prod/DYAQ9D-A900GMTFW,SONY 索尼 [公司貨 保固12個月] WH-CH720N 無線降噪耳罩式耳機,"$3,990"
